"","State","Industry","Series ID","Month","Turnover"
"1","South Australia","Hardware, building and garden supplies retailing","A3349501L",1982 Apr,8.6
"2","South Australia","Hardware, building and garden supplies retailing","A3349501L",1982 May,9.5
"3","South Australia","Hardware, building and garden supplies retailing","A3349501L",1982 Jun,8.4
"4","South Australia","Hardware, building and garden supplies retailing","A3349501L",1982 Jul,10.3
"5","South Australia","Hardware, building and garden supplies retailing","A3349501L",1982 Aug,10.6
"6","South Australia","Hardware, building and garden supplies retailing","A3349501L",1982 Sep,11.5
"7","South Australia","Hardware, building and garden supplies retailing","A3349501L",1982 Oct,10.8
"8","South Australia","Hardware, building and garden supplies retailing","A3349501L",1982 Nov,13.1
"9","South Australia","Hardware, building and garden supplies retailing","A3349501L",1982 Dec,25.4
"10","South Australia","Hardware, building and garden supplies retailing","A3349501L",1983 Jan,9.2
"11","South Australia","Hardware, building and garden supplies retailing","A3349501L",1983 Feb,8.5
"12","South Australia","Hardware, building and garden supplies retailing","A3349501L",1983 Mar,9.9
"13","South Australia","Hardware, building and garden supplies retailing","A3349501L",1983 Apr,9.3
"14","South Australia","Hardware, building and garden supplies retailing","A3349501L",1983 May,10.5
"15","South Australia","Hardware, building and garden supplies retailing","A3349501L",1983 Jun,9.8
"16","South Australia","Hardware, building and garden supplies retailing","A3349501L",1983 Jul,11.1
"17","South Australia","Hardware, building and garden supplies retailing","A3349501L",1983 Aug,11.2
"18","South Australia","Hardware, building and garden supplies retailing","A3349501L",1983 Sep,12.3
"19","South Australia","Hardware, building and garden supplies retailing","A3349501L",1983 Oct,10.2
"20","South Australia","Hardware, building and garden supplies retailing","A3349501L",1983 Nov,11.8
"21","South Australia","Hardware, building and garden supplies retailing","A3349501L",1983 Dec,20.3
"22","South Australia","Hardware, building and garden supplies retailing","A3349501L",1984 Jan,11
"23","South Australia","Hardware, building and garden supplies retailing","A3349501L",1984 Feb,10.9
"24","South Australia","Hardware, building and garden supplies retailing","A3349501L",1984 Mar,10.5
"25","South Australia","Hardware, building and garden supplies retailing","A3349501L",1984 Apr,10.3
"26","South Australia","Hardware, building and garden supplies retailing","A3349501L",1984 May,13.4
"27","South Australia","Hardware, building and garden supplies retailing","A3349501L",1984 Jun,11.3
"28","South Australia","Hardware, building and garden supplies retailing","A3349501L",1984 Jul,11.6
"29","South Australia","Hardware, building and garden supplies retailing","A3349501L",1984 Aug,13.3
"30","South Australia","Hardware, building and garden supplies retailing","A3349501L",1984 Sep,12.8
"31","South Australia","Hardware, building and garden supplies retailing","A3349501L",1984 Oct,14.2
"32","South Australia","Hardware, building and garden supplies retailing","A3349501L",1984 Nov,15.4
"33","South Australia","Hardware, building and garden supplies retailing","A3349501L",1984 Dec,26
"34","South Australia","Hardware, building and garden supplies retailing","A3349501L",1985 Jan,12.4
"35","South Australia","Hardware, building and garden supplies retailing","A3349501L",1985 Feb,12.3
